capture_id,plate_id,camera_id,captured_at,observed_make,observed_model,observed_colour,ocr_confidence
1,MH12CD0056,CAM002,2026-09-02T21:00:00,Toyota,Innova,Silver,0.851
2,UP16AB0459,CAM001,2026-08-04T06:00:00,Honda,City,Black,0.879
3,UP16AB0459,CAM001,2026-07-19T18:00:00,Toyota,Innova,Red,0.965
4,MH12GH0275,CAM001,2026-08-09T11:00:00,Kia,Seltos,White,0.971
5,MH12GH0275,CAM004,2026-07-10T13:00:00,Honda,City,Silver,0.93
6,MH12GH0275,CAM002,2026-08-02T01:00:00,Tata,Punch,Silver,0.855
7,UP16GH0320,CAM002,2026-09-02T00:00:00,Kia,Seltos,Black,0.946
8,UP16GH0320,CAM002,2026-08-07T08:00:00,Honda,City,Silver,0.882
9,UP16CD0162,CAM002,2026-08-24T06:00:00,Toyota,Innova,White,0.942
10,UP16CD0162,CAM003,2026-08-12T04:00:00,Toyota,Innova,Black,0.954
11,DL05CD0047,CAM001,2026-08-01T20:00:00,Honda,City,Black,0.931
12,DL05CD0047,CAM004,2026-08-29T05:00:00,Tata,Punch,Silver,0.883
13,DL05CD0047,CAM005,2026-08-25T01:00:00,Toyota,Innova,Silver,0.887
14,UP16CD0495,CAM002,2026-07-18T16:00:00,Toyota,Innova,Grey,0.887
15,DL05CD0160,CAM005,2026-09-03T00:00:00,Tata,Punch,Grey,0.954
16,DL05CD0160,CAM004,2026-09-04T03:00:00,Toyota,Innova,Grey,0.979
17,DL05CD0160,CAM005,2026-08-01T18:00:00,Kia,Seltos,White,0.981
18,DL05CD0421,CAM005,2026-07-27T21:00:00,Toyota,Innova,Blue,0.922
19,DL05CD0421,CAM004,2026-07-16T12:00:00,Kia,Seltos,Red,0.971
20,HR26EF0083,CAM003,2026-07-12T02:00:00,Tata,Punch,Black,0.916
21,UP16AB0405,CAM004,2026-07-19T02:00:00,Honda,City,Silver,0.898
22,UP16AB0405,CAM001,2026-08-18T22:00:00,Kia,Seltos,Silver,0.954
23,UP16AB0405,CAM004,2026-08-04T20:00:00,Honda,City,Black,0.911
24,MH12AB0185,CAM001,2026-08-22T10:00:00,Kia,Seltos,Black,0.965
25,DL05CD0032,CAM001,2026-08-22T01:00:00,Toyota,Innova,Black,0.856
26,HR26GH0217,CAM005,2026-07-26T11:00:00,Kia,Seltos,Blue,0.872
27,HR26GH0217,CAM002,2026-07-21T23:00:00,Tata,Punch,Red,0.973
28,MH12GH0069,CAM003,2026-07-22T08:00:00,Honda,City,Blue,0.958
29,HR26IJ0534,CAM002,2026-07-31T18:00:00,Kia,Seltos,Red,0.901
30,HR26IJ0534,CAM004,2026-08-18T08:00:00,Honda,City,Silver,0.999
31,DL01EF0498,CAM005,2026-07-23T16:00:00,Toyota,Innova,White,0.962
32,MH12CD0181,CAM002,2026-08-08T01:00:00,Kia,Seltos,White,0.97
33,DL01CD0102,CAM002,2026-07-06T22:00:00,Tata,Punch,Silver,0.894
34,DL01AB0001,CAM002,2026-07-20T13:00:00,Toyota,Innova,Grey,0.967
35,DL01AB0001,CAM003,2026-07-15T11:00:00,Kia,Seltos,Silver,0.909
36,DL01AB0001,CAM004,2026-07-25T03:00:00,Tata,Punch,White,0.865
37,MH12CD0372,CAM004,2026-08-26T07:00:00,Honda,City,Grey,0.912
38,MH12CD0372,CAM001,2026-08-18T12:00:00,Toyota,Innova,Red,0.917
39,DL05CD0450,CAM003,2026-08-20T21:00:00,Kia,Seltos,White,0.851
40,DL05CD0450,CAM001,2026-08-25T13:00:00,Toyota,Innova,Grey,0.862
41,HR26CD0085,CAM005,2026-08-19T10:00:00,Honda,City,Blue,0.912
42,HR26CD0085,CAM001,2026-07-06T22:00:00,Honda,City,Black,0.919
43,HR26CD0302,CAM004,2026-08-03T09:00:00,Honda,City,Grey,0.905
44,HR26AB0477,CAM005,2026-07-19T20:00:00,Tata,Punch,Blue,0.904
45,DL05ABO342,CAM002,2026-08-15T21:00:00,Hyundai,Creta,White,0.663
46,DLO5AB0342,CAM004,2026-09-04T00:00:00,Hyundai,Creta,White,0.638
47,MH12CD04I0,CAM005,2026-08-28T22:00:00,Toyota,Innova,White,0.758
48,UPI6CD0486,CAM004,2026-07-19T11:00:00,Toyota,Innova,White,0.839
49,DL05EFO025,CAM005,2026-08-24T00:00:00,Maruti Suzuki,Baleno,Black,0.552
50,DLO5EF0025,CAM002,2026-08-26T12:00:00,Maruti Suzuki,Baleno,Black,0.703
51,DLO1GH0261,CAM004,2026-08-02T02:00:00,Maruti Suzuki,Swift,White,0.583
52,MHI2GH0265,CAM001,2026-08-31T10:00:00,Hyundai,Creta,Black,0.747
53,MHI2GH0265,CAM001,2026-08-01T00:00:00,Hyundai,Creta,Black,0.739
