plate_number,expected_decision,expected_confidence,basis
DL01AB0001,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-10, seen by camera 2026-09-02T20:00:00"
DL01AB0002,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16CD0003,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-21, seen by camera 2026-08-23T02:00:00"
DL05EF0004,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-15
DL05AB0005,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-09-01, seen by camera 2026-07-23T11:00:00"
MH12EF0006,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-22, seen by camera 2026-08-31T23:00:00"
MH12AB0007,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-06
UP16EF0008,UNINSURED — REPORT,HIGH,latest policy ended 2026-02-24
MH12AB0009,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-09, seen by camera 2026-07-20T21:00:00"
DL05GH0010,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-06, seen by camera 2026-09-01T18:00:00"
UP16IJ0011,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2026-12-24, never seen by a camera"
DL05AB0012,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16CD0013,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-09-03, seen by camera 2026-07-25T23:00:00"
HR26EF0014,UNINSURED — REPORT,HIGH,latest policy ended 2026-04-08
HR26GH0015,UNINSURED — REPORT,HIGH,no insurance policy on record
DL05IJ0016,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-08-24, never seen by a camera"
UP16GH0017,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-30, seen by camera 2026-07-30T10:00:00"
DL05GH0018,UNINSURED — REPORT,HIGH,no insurance policy on record
DL01CD0019,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-02, seen by camera 2026-09-02T14:00:00"
HR26EF0020,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-07, seen by camera 2026-07-29T21:00:00"
HR26CD0021,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-08, seen by camera 2026-08-07T07:00:00"
UP16GH0022,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-19, seen by camera 2026-07-11T04:00:00"
UP16CD0023,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-07, seen by camera 2026-08-11T09:00:00"
UP16EF0024,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-17
DL05EF0025,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-15, seen by camera 2026-07-26T13:00:00"
HR26CD0026,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-03, seen by camera 2026-07-22T11:00:00"
DL05GH0027,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-08, seen by camera 2026-08-29T14:00:00"
MH12EF0028,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-22, seen by camera 2026-08-08T09:00:00"
DL05IJ0029,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-14
HR26EF0030,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-11, seen by camera 2026-07-27T06:00:00"
UP16EF0031,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-14, seen by camera 2026-08-31T04:00:00"
DL05CD0032,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-06
DL01GH0033,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-09, seen by camera 2026-08-23T09:00:00"
HR26EF0034,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-27, seen by camera 2026-08-10T20:00:00"
HR26GH0035,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL05CD0036,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-24, seen by camera 2026-08-15T03:00:00"
HR26GH0037,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
MH12CD0038,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-06, seen by camera 2026-07-09T16:00:00"
UP16CD0039,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-29, seen by camera 2026-08-26T12:00:00"
MH12AB0040,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
UP16IJ0041,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-26, seen by camera 2026-08-02T11:00:00"
UP16IJ0042,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
DL01IJ0043,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-05, seen by camera 2026-08-04T10:00:00"
DL05IJ0044,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-09, seen by camera 2026-07-11T17:00:00"
UP16EF0045,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-18, seen by camera 2026-07-22T02:00:00"
DL05CD0046,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-18, seen by camera 2026-08-25T16:00:00"
DL05CD0047,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL05EF0048,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-27, seen by camera 2026-08-26T00:00:00"
UP16GH0049,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-26, seen by camera 2026-07-22T23:00:00"
DL01EF0050,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-24, seen by camera 2026-08-19T14:00:00"
MH12GH0051,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-10
MH12IJ0052,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-15, seen by camera 2026-08-17T12:00:00"
DL01AB0053,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-21, seen by camera 2026-07-20T00:00:00"
DL01AB0054,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-08-16, seen by camera 2026-08-22T01:00:00"
DL01GH0055,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-22, seen by camera 2026-08-28T13:00:00"
MH12CD0056,UNINSURED — REPORT,HIGH,no insurance policy on record
UP16EF0057,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-01-26, never seen by a camera"
HR26GH0058,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL05GH0059,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-03, seen by camera 2026-08-06T16:00:00"
UP16GH0060,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-17, seen by camera 2026-08-29T20:00:00"
UP16CD0061,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-03, seen by camera 2026-08-31T01:00:00"
UP16AB0062,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-22, seen by camera 2026-07-20T16:00:00"
DL01IJ0063,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-29, seen by camera 2026-07-23T05:00:00"
DL01CD0064,REGISTRATION INVALID — REPORT,HIGH,registration SUSPENDED
DL01GH0065,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-11, seen by camera 2026-07-21T16:00:00"
MH12IJ0066,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-09, seen by camera 2026-08-22T23:00:00"
UP16IJ0067,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-09, seen by camera 2026-08-28T08:00:00"
DL01GH0068,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-23, seen by camera 2026-07-31T11:00:00"
MH12GH0069,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-04, seen by camera 2026-08-10T08:00:00"
DL01EF0070,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-13, seen by camera 2026-07-21T15:00:00"
HR26EF0071,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-13, seen by camera 2026-08-09T18:00:00"
DL01IJ0072,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-21, seen by camera 2026-07-16T05:00:00"
HR26GH0073,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-07-31, seen by camera 2026-08-09T09:00:00"
DL05AB0074,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-25, seen by camera 2026-08-27T01:00:00"
DL01GH0075,UNINSURED — REPORT,HIGH,latest policy ended 2026-03-15
DL01GH0076,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-04, seen by camera 2026-09-01T18:00:00"
MH12CD0077,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-08, seen by camera 2026-08-16T09:00:00"
MH12IJ0078,REGISTRATION INVALID — REPORT,HIGH,registration CANCELLED
MH12AB0079,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-22, seen by camera 2026-08-09T06:00:00"
HR26AB0080,CLEAR,MEDIUM,"registration ACTIVE, policy valid until 2027-05-08, never seen by a camera"
HR26CD0081,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-12, seen by camera 2026-07-05T16:00:00"
MH12IJ0082,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-04-02, seen by camera 2026-09-01T09:00:00"
HR26EF0083,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
DL01CD0084,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-23, seen by camera 2026-08-24T02:00:00"
HR26CD0085,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-19, seen by camera 2026-07-20T22:00:00"
UP16EF0086,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12AB0087,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-03-02, seen by camera 2026-07-14T14:00:00"
HR26IJ0088,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-10
DL01GH0089,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-11, seen by camera 2026-08-04T04:00:00"
UP16AB0090,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-02, seen by camera 2026-08-21T15:00:00"
HR26GH0091,UNINSURED — REPORT,HIGH,no insurance policy on record
MH12AB0092,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-09, seen by camera 2026-09-02T22:00:00"
MH12EF0093,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-09, seen by camera 2026-08-20T22:00:00"
DL01CD0094,UNINSURED — REPORT,HIGH,latest policy ended 2026-06-21
MH12IJ0095,STOLEN — ALERT POLICE,HIGH,open theft case reported 2026-06-22
HR26CD0096,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-01-13, seen by camera 2026-08-09T05:00:00"
MH12CD0097,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-15, seen by camera 2026-07-20T15:00:00"
DL01EF0098,SUSPICIOUS — POSSIBLE CLONED PLATE,MEDIUM,"latest camera sighting disagrees with the registration on make, model, colour"
HR26GH0099,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-13, seen by camera 2026-08-06T05:00:00"
HR26GH0100,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-11-13, seen by camera 2026-08-15T19:00:00"
HR26EF0101,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-05-26, seen by camera 2026-08-11T02:00:00"
DL01CD0102,UNINSURED — REPORT,HIGH,latest policy ended 2026-08-10
DL05CD0103,CLEAR,HIGH,"registration ACTIVE, policy valid until 2026-12-11, seen by camera 2026-07-20T09:00:00"
UP16GH0104,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-02-04, seen by camera 2026-08-13T04:00:00"
UP16GH0105,UNINSURED — REPORT,HIGH,no insurance policy on record
HR26AB0106,CLEAR,HIGH,"registration ACTIVE, policy valid until 2027-06-28, seen by camera 2026-09-03T12:00:00"
