policy_id,vehicle_reg,insurer_id,policy_type,policy_start,policy_until,is_active,premium_inr
1,HR-26-EF-0382,1,THIRD_PARTY,04/09/2024,11/03/2026,0,3729.98
2,HR-26-EF-0315,2,COMPREHENSIVE,04/09/2024,10/05/2026,0,3587.83
3,MH-12-CD-0390,1,COMPREHENSIVE,04/09/2024,01/07/2026,0,6424.62
4,MH-12-CD-0319,2,COMPREHENSIVE,04/09/2024,07/04/2026,0,4919.54
5,HR-26-GH-0136,2,COMPREHENSIVE,04/09/2024,19/03/2026,0,14587.07
6,DL-01-IJ-0548,1,COMPREHENSIVE,04/09/2024,27/03/2026,0,4326.91
7,UP-16-AB-0090,5,COMPREHENSIVE,04/09/2024,01/04/2026,0,17578.01
8,MH-12-GH-0051,4,THIRD_PARTY,04/09/2024,03/08/2026,0,7429.17
9,UP-16-IJ-0512,2,COMPREHENSIVE,04/09/2024,01/06/2026,0,11843.22
10,HR-26-IJ-0560,1,COMPREHENSIVE,04/09/2024,25/02/2026,0,16080.56
11,DL-01-GH-0590,2,THIRD_PARTY,04/09/2024,10/07/2026,0,9215.4
12,DL-01-IJ-0305,5,THIRD_PARTY,04/09/2024,22/07/2026,0,10046.49
13,MH-12-IJ-0311,1,COMPREHENSIVE,04/09/2024,19/04/2026,0,6588.06
14,HR-26-CD-0186,2,THIRD_PARTY,04/09/2024,16/07/2026,0,17544.21
15,DL-01-AB-0377,1,COMPREHENSIVE,04/09/2024,25/06/2026,0,8735.84
16,DL-05-GH-0497,2,THIRD_PARTY,04/09/2024,03/03/2026,0,13553.78
17,UP-16-IJ-0430,1,THIRD_PARTY,04/09/2024,07/07/2026,0,6166.64
18,UP-16-GH-0453,4,THIRD_PARTY,04/09/2024,05/06/2026,0,6953.86
19,HR-26-GH-0035,2,THIRD_PARTY,04/09/2024,30/05/2026,0,11932.13
20,HR-26-CD-0483,5,THIRD_PARTY,04/09/2024,12/05/2026,0,8656.57
21,DL-05-GH-0112,3,THIRD_PARTY,04/09/2024,03/07/2026,0,14281.25
22,HR-26-CD-0300,2,THIRD_PARTY,04/09/2024,13/03/2026,0,8939.3
23,MH-12-GH-0573,2,COMPREHENSIVE,04/09/2024,10/04/2026,0,3562.7
24,HR-26-GH-0058,2,COMPREHENSIVE,04/09/2024,06/04/2026,0,12540.88
25,HR-26-AB-0251,3,THIRD_PARTY,04/09/2024,07/05/2026,0,16207.48
26,MH-12-GH-0593,5,COMPREHENSIVE,04/09/2024,11/04/2026,0,12306.43
27,UP-16-AB-0113,2,COMPREHENSIVE,04/09/2024,23/08/2026,0,14051.5
28,UP-16-EF-0546,3,COMPREHENSIVE,04/09/2024,27/05/2026,0,15244.55
29,MH-12-CD-0356,3,COMPREHENSIVE,04/09/2024,23/05/2026,0,16908.27
30,HR-26-EF-0014,2,COMPREHENSIVE,04/09/2024,14/03/2026,0,17109.26
31,UP-16-GH-0105,4,COMPREHENSIVE,04/09/2024,24/04/2026,0,17154.12
32,MH-12-IJ-0082,1,COMPREHENSIVE,04/09/2024,16/03/2026,0,8169.14
33,HR-26-IJ-0441,1,COMPREHENSIVE,04/09/2024,29/05/2026,0,9991.37
34,DL-05-AB-0012,3,COMPREHENSIVE,04/09/2024,24/03/2026,0,10339.35
35,HR-26-AB-0454,1,THIRD_PARTY,04/09/2024,27/05/2026,0,9397.32
36,DL-05-AB-0342,1,THIRD_PARTY,04/09/2024,26/03/2026,0,4479.17
37,MH-12-CD-0410,5,COMPREHENSIVE,04/09/2024,10/08/2026,0,6832.58
38,UP-16-CD-0486,3,THIRD_PARTY,04/09/2024,09/07/2026,0,6641.22
39,DL-05-EF-0025,2,THIRD_PARTY,04/09/2024,17/04/2026,0,14578.82
40,DL-01-GH-0261,1,COMPREHENSIVE,04/09/2024,24/07/2026,0,17328.2
41,MH-12-GH-0265,2,COMPREHENSIVE,04/09/2024,01/05/2026,0,17452.94
42,DL-05-GH-0208,2,THIRD_PARTY,04/09/2024,05/03/2026,0,14729.45
43,MH-12-GH-0595,2,THIRD_PARTY,04/09/2024,24/04/2026,0,17512.84
44,UP-16-AB-0363,5,THIRD_PARTY,04/09/2024,15/06/2026,0,11382.98
45,UP-16-AB-0521,4,COMPREHENSIVE,04/09/2024,21/06/2026,0,15735.07
46,MH-12-AB-0079,2,THIRD_PARTY,04/09/2024,13/05/2026,0,17121.7
47,DL-05-CD-0282,1,THIRD_PARTY,04/09/2024,06/06/2026,0,4192.66
48,DL-05-AB-0338,3,THIRD_PARTY,04/09/2024,11/06/2026,0,9795.86
49,DL-05-GH-0507,1,THIRD_PARTY,04/09/2024,10/05/2026,0,6063.69
50,UP-16-GH-0049,4,COMPREHENSIVE,04/09/2024,28/02/2026,0,7706.62
51,UP-16-AB-0484,2,THIRD_PARTY,05/09/2022,04/09/2024,0,13375.86
52,UP-16-AB-0484,2,THIRD_PARTY,27/05/2026,13/11/2026,1,13375.86
53,UP-16-GH-0304,3,THIRD_PARTY,05/09/2022,04/09/2024,0,7971.03
54,UP-16-GH-0304,3,THIRD_PARTY,27/05/2026,11/02/2027,1,7971.03
55,DL-01-EF-0159,4,COMPREHENSIVE,05/09/2022,04/09/2024,0,12792.26
56,DL-01-EF-0159,4,COMPREHENSIVE,27/05/2026,02/03/2027,1,12792.26
57,HR-26-GH-0091,1,THIRD_PARTY,05/09/2022,04/09/2024,0,16217.85
58,HR-26-GH-0091,1,THIRD_PARTY,27/05/2026,01/03/2027,1,16217.85
59,UP-16-AB-0268,4,THIRD_PARTY,05/09/2022,04/09/2024,0,5918.83
60,UP-16-AB-0268,4,THIRD_PARTY,27/05/2026,09/11/2026,1,5918.83
61,DL-01-GH-0119,4,THIRD_PARTY,05/09/2022,04/09/2024,0,7537.65
62,DL-01-GH-0119,4,THIRD_PARTY,27/05/2026,06/11/2026,1,7537.65
63,MH-12-EF-0216,2,COMPREHENSIVE,05/09/2022,04/09/2024,0,9931.96
64,MH-12-EF-0216,2,COMPREHENSIVE,27/05/2026,24/03/2027,1,9931.96
65,MH-12-EF-0569,3,THIRD_PARTY,05/09/2022,04/09/2024,0,10610.1
66,MH-12-EF-0569,3,THIRD_PARTY,27/05/2026,15/05/2027,1,10610.1
67,UP-16-AB-0361,1,THIRD_PARTY,05/09/2022,04/09/2024,0,14849.01
68,UP-16-AB-0361,1,THIRD_PARTY,27/05/2026,01/07/2027,1,14849.01
69,UP-16-CD-0296,1,THIRD_PARTY,05/09/2022,04/09/2024,0,16995.18
70,UP-16-CD-0296,1,THIRD_PARTY,27/05/2026,08/05/2027,1,16995.18
71,UP-16-AB-0353,2,THIRD_PARTY,29/03/2026,15/12/2026,1,16467.78
72,DL-01-EF-0349,5,THIRD_PARTY,28/07/2026,22/06/2027,1,12072.44
73,DL-05-CD-0046,5,THIRD_PARTY,24/02/2026,02/07/2027,1,5866.58
74,UP-16-CD-0365,5,THIRD_PARTY,29/01/2026,23/03/2027,1,11227.13
75,UP-16-AB-0434,5,COMPREHENSIVE,21/05/2026,02/06/2027,1,10876.99
76,MH-12-EF-0248,2,COMPREHENSIVE,27/03/2026,26/05/2027,1,10301.4
77,DL-05-IJ-0388,1,COMPREHENSIVE,06/04/2026,27/08/2027,1,5274.14
78,DL-05-GH-0362,1,COMPREHENSIVE,06/12/2025,07/11/2026,1,14529.94
79,DL-01-CD-0245,4,THIRD_PARTY,06/05/2026,29/05/2027,1,15816.0
80,HR-26-EF-0556,3,THIRD_PARTY,04/04/2026,14/01/2027,1,15546.57
81,HR-26-CD-0021,1,THIRD_PARTY,15/05/2026,28/05/2027,1,8527.63
82,UP-16-EF-0179,5,COMPREHENSIVE,11/02/2026,07/12/2026,1,6106.2
83,DL-01-IJ-0555,1,THIRD_PARTY,22/06/2026,08/08/2027,1,5326.01
84,DL-01-IJ-0043,4,THIRD_PARTY,17/07/2026,18/12/2026,1,9739.16
85,DL-05-GH-0263,1,COMPREHENSIVE,23/02/2026,19/07/2027,1,16852.8
86,HR-26-EF-0373,1,COMPREHENSIVE,23/01/2026,04/01/2027,1,17752.84
87,UP-16-GH-0368,4,THIRD_PARTY,21/07/2026,08/06/2027,1,10683.54
88,DL-01-EF-0303,1,THIRD_PARTY,10/06/2026,10/07/2027,1,12058.33
89,MH-12-AB-0110,2,COMPREHENSIVE,25/06/2026,05/02/2027,1,12838.0
90,UP-16-EF-0057,2,COMPREHENSIVE,18/12/2025,28/01/2027,1,8976.19
91,MH-12-GH-0458,5,THIRD_PARTY,27/06/2026,04/12/2026,1,13529.16
92,MH-12-EF-0201,2,COMPREHENSIVE,26/05/2026,10/08/2027,1,12800.52
93,DL-05-IJ-0121,1,THIRD_PARTY,08/06/2026,12/11/2026,1,9826.3
94,DL-01-AB-0531,4,THIRD_PARTY,04/04/2026,11/05/2027,1,17657.51
95,DL-05-CD-0462,3,THIRD_PARTY,14/05/2026,03/11/2026,1,12964.38
96,DL-01-AB-0371,1,COMPREHENSIVE,21/12/2025,06/04/2027,1,7263.76
97,UP-16-GH-0547,4,THIRD_PARTY,24/04/2026,28/12/2026,1,5598.11
98,UP-16-CD-0209,3,THIRD_PARTY,07/04/2026,16/02/2027,1,9488.12
99,DL-05-CD-0155,2,COMPREHENSIVE,16/07/2026,09/05/2027,1,15806.44
100,DL-01-AB-0189,3,THIRD_PARTY,21/02/2026,03/04/2027,1,3730.78
101,DL-05-AB-0563,1,COMPREHENSIVE,15/12/2025,20/03/2027,1,8258.36
102,UP-16-IJ-0425,1,COMPREHENSIVE,25/02/2026,12/03/2027,1,9733.76
103,DL-05-GH-0214,1,COMPREHENSIVE,12/01/2026,16/08/2027,1,9257.99
104,HR-26-CD-0200,5,THIRD_PARTY,09/04/2026,31/03/2027,1,5764.25
105,MH-12-CD-0038,1,THIRD_PARTY,03/08/2026,02/07/2027,1,6253.22
106,DL-01-AB-0169,5,COMPREHENSIVE,12/12/2025,21/01/2027,1,13989.68
107,DL-05-AB-0145,3,THIRD_PARTY,23/07/2026,08/06/2027,1,9020.84
108,DL-01-GH-0157,5,THIRD_PARTY,27/12/2025,27/04/2027,1,6155.65
109,UP-16-AB-0171,5,COMPREHENSIVE,31/05/2026,13/05/2027,1,13164.16
110,UP-16-GH-0492,3,COMPREHENSIVE,10/06/2026,30/05/2027,1,10447.9
111,MH-12-CD-0279,4,THIRD_PARTY,24/04/2026,04/04/2027,1,4760.89
112,DL-01-CD-0163,1,THIRD_PARTY,02/08/2026,16/05/2027,1,10180.26
113,MH-12-GH-0387,3,THIRD_PARTY,26/07/2026,12/02/2027,1,4184.73
114,DL-01-GH-0076,3,COMPREHENSIVE,05/03/2026,04/02/2027,1,13495.03
115,UP-16-IJ-0375,2,COMPREHENSIVE,20/05/2026,02/02/2027,1,7680.05
116,MH-12-EF-0558,5,THIRD_PARTY,31/03/2026,29/05/2027,1,9107.52
117,HR-26-IJ-0401,3,THIRD_PARTY,14/11/2025,28/05/2027,1,5433.44
118,DL-01-GH-0429,2,THIRD_PARTY,10/01/2026,08/03/2027,1,4762.86
119,HR-26-CD-0026,1,THIRD_PARTY,09/01/2026,03/01/2027,1,4098.02
120,DL-01-CD-0094,1,COMPREHENSIVE,15/03/2026,29/11/2026,1,17702.33
121,UP-16-GH-0583,5,THIRD_PARTY,18/12/2025,12/08/2027,1,8607.9
122,DL-01-CD-0187,4,COMPREHENSIVE,05/05/2026,06/11/2026,1,9503.14
123,DL-01-EF-0297,4,THIRD_PARTY,12/07/2026,19/07/2027,1,11708.3
124,UP-16-IJ-0360,1,THIRD_PARTY,04/04/2026,22/03/2027,1,9155.31
125,UP-16-EF-0433,3,THIRD_PARTY,15/06/2026,10/06/2027,1,13312.58
126,HR-26-AB-0559,1,THIRD_PARTY,03/07/2026,30/07/2027,1,5228.92
127,DL-01-GH-0419,4,THIRD_PARTY,20/03/2026,29/11/2026,1,16844.59
128,MH-12-IJ-0417,5,COMPREHENSIVE,22/02/2026,17/08/2027,1,4300.02
129,UP-16-IJ-0376,2,THIRD_PARTY,12/04/2026,31/08/2027,1,12458.17
