cert_no,regn_number,valid_upto,tested_at,emission_norm
PUC-2026-100,MH12CD0056,2026-07-16,North Delhi Testing,BS-IV
PUC-2026-101,UP16AB0459,2027-01-25,North Delhi Testing,BS-VI
PUC-2026-102,MH12GH0275,2026-05-30,Gurugram Auto Hub,BS-VI
PUC-2026-103,UP16GH0320,2027-06-07,South Delhi Center,BS-VI
PUC-2026-104,UP16CD0162,2026-09-07,South Delhi Center,BS-IV
PUC-2026-105,DL05CD0047,2026-09-04,Noida Inspection Point,BS-IV
PUC-2026-106,UP16CD0495,2027-06-03,North Delhi Testing,BS-VI
PUC-2026-107,DL05CD0160,2027-06-22,South Delhi Center,BS-IV
PUC-2026-108,DL05CD0421,2026-12-22,South Delhi Center,BS-VI
PUC-2026-109,HR26EF0083,2026-05-29,Noida Inspection Point,BS-IV
PUC-2026-110,UP16AB0405,2026-10-12,South Delhi Center,BS-IV
PUC-2026-111,MH12AB0185,2027-02-15,Gurugram Auto Hub,BS-VI
PUC-2026-112,DL05CD0032,2026-11-24,South Delhi Center,BS-VI
PUC-2026-113,HR26GH0217,2027-05-23,North Delhi Testing,BS-IV
PUC-2026-114,MH12GH0069,2026-12-14,Gurugram Auto Hub,BS-IV
PUC-2026-115,HR26IJ0534,2027-04-19,North Delhi Testing,BS-VI
PUC-2026-116,DL01EF0498,2026-08-13,South Delhi Center,BS-VI
PUC-2026-117,MH12CD0181,2026-09-13,North Delhi Testing,BS-IV
PUC-2026-118,DL01CD0102,2026-09-14,North Delhi Testing,BS-IV
PUC-2026-119,DL01AB0001,2027-04-04,Gurugram Auto Hub,BS-VI
PUC-2026-120,MH12CD0372,2026-10-06,North Delhi Testing,BS-IV
PUC-2026-121,DL05CD0450,2027-05-17,South Delhi Center,BS-IV
PUC-2026-122,HR26CD0085,2026-08-29,North Delhi Testing,BS-VI
PUC-2026-123,HR26CD0302,2026-07-21,North Delhi Testing,BS-VI
PUC-2026-124,HR26AB0477,2026-11-15,North Delhi Testing,BS-IV
PUC-2026-125,UP16EF0173,2027-03-20,North Delhi Testing,BS-VI
PUC-2026-126,DL01CD0172,2027-02-20,North Delhi Testing,BS-VI
PUC-2026-127,DL01IJ0431,2026-09-30,Noida Inspection Point,BS-VI
PUC-2026-128,DL05CD0306,2026-08-31,North Delhi Testing,BS-IV
PUC-2026-129,DL05GH0448,2027-06-09,South Delhi Center,BS-VI
PUC-2026-130,MH12GH0504,2027-01-06,North Delhi Testing,BS-VI
PUC-2026-131,DL01IJ0565,2026-05-29,Gurugram Auto Hub,BS-IV
PUC-2026-132,UP16CD0219,2027-06-11,Gurugram Auto Hub,BS-VI
PUC-2026-133,MH12EF0344,2026-06-16,Noida Inspection Point,BS-VI
PUC-2026-134,HR26EF0364,2027-04-02,North Delhi Testing,BS-VI
PUC-2026-135,DL01AB0118,2027-06-03,Noida Inspection Point,BS-IV
PUC-2026-136,DL01AB0270,2026-11-12,Noida Inspection Point,BS-VI
PUC-2026-137,DL05AB0244,2026-11-16,Gurugram Auto Hub,BS-VI
PUC-2026-138,DL01GH0134,2026-07-30,Noida Inspection Point,BS-VI
PUC-2026-139,UP16AB0529,2027-06-13,Gurugram Auto Hub,BS-IV
PUC-2026-140,DL01AB0359,2026-11-23,Gurugram Auto Hub,BS-IV
PUC-2026-141,UP16IJ0067,2027-04-27,South Delhi Center,BS-VI
PUC-2026-142,DL05EF0316,2027-01-11,Gurugram Auto Hub,BS-VI
PUC-2026-143,MH12IJ0336,2027-05-15,Noida Inspection Point,BS-VI
PUC-2026-144,MH12IJ0389,2027-02-08,South Delhi Center,BS-IV
PUC-2026-145,DL05IJ0539,2026-12-21,Gurugram Auto Hub,BS-IV
PUC-2026-146,DL01EF0098,2026-09-15,South Delhi Center,BS-VI
PUC-2026-147,HR26GH0204,2026-09-21,South Delhi Center,BS-VI
PUC-2026-148,HR26CD0096,2026-05-30,North Delhi Testing,BS-VI
PUC-2026-149,HR26GH0161,2026-09-08,North Delhi Testing,BS-IV
PUC-2026-150,HR26EF0382,2027-06-22,South Delhi Center,BS-VI
PUC-2026-151,HR26EF0315,2027-03-14,North Delhi Testing,BS-IV
PUC-2026-152,MH12CD0390,2027-05-16,Noida Inspection Point,BS-VI
PUC-2026-153,MH12CD0319,2027-01-24,North Delhi Testing,BS-IV
