registration_id,registration_no,owner_id,make,model,colour,fuel_type,registered_on,reg_status,rto_code
1,DL01AB0001,1,Mahindra,XUV700,White,PETROL,2022-04-20,ACTIVE,DL01
2,DL01AB0002,2,Tata,Punch,Grey,CNG,2022-09-08,ACTIVE,DL01
3,UP16CD0003,3,Tata,Nexon,Grey,EV,2023-02-07,ACTIVE,UP16
4,DL05EF0004,4,Toyota,Innova,Blue,DIESEL,2021-11-08,ACTIVE,DL05
5,DL05AB0005,5,Mahindra,XUV700,Silver,PETROL,2024-11-26,ACTIVE,DL05
6,MH12EF0006,6,Mahindra,XUV700,White,CNG,2025-05-19,ACTIVE,MH12
7,MH12AB0007,7,Hyundai,i20,Grey,DIESEL,2022-09-21,ACTIVE,MH12
8,UP16EF0008,8,Toyota,Innova,Silver,CNG,2022-09-26,ACTIVE,UP16
9,MH12AB0009,9,Tata,Punch,Red,EV,2024-09-26,ACTIVE,MH12
10,DL05GH0010,10,Maruti Suzuki,Swift,Blue,PETROL,2023-09-26,ACTIVE,DL05
11,UP16IJ0011,11,Tata,Nexon,Grey,CNG,2024-04-27,ACTIVE,UP16
12,DL05AB0012,12,Hyundai,Creta,Red,PETROL,2021-07-26,ACTIVE,DL05
13,UP16CD0013,13,Tata,Punch,White,EV,2022-10-02,ACTIVE,UP16
14,HR26EF0014,14,,Innova,Red,DIESEL,2025-06-28,ACTIVE,HR26
15,HR26GH0015,15,Tata,Punch,White,EV,2021-06-27,ACTIVE,HR26
16,DL05IJ0016,16,Honda,City,Silver,PETROL,2023-12-25,ACTIVE,DL05
17,UP16GH0017,17,Hyundai,i20,Silver,DIESEL,2021-12-21,ACTIVE,UP16
18,DL05GH0018,18,Toyota,Innova,Blue,EV,2022-09-19,ACTIVE,DL05
19,DL01CD0019,19,Maruti Suzuki,Swift,White,CNG,2021-09-10,ACTIVE,DL01
20,HR26EF0020,20,Tata,Punch,Blue,PETROL,2021-07-28,ACTIVE,HR26
21,HR26CD0021,21,,Baleno,Silver,DIESEL,2023-12-23,ACTIVE,HR26
22,UP16GH0022,22,Mahindra,XUV700,White,PETROL,2024-06-12,ACTIVE,UP16
23,UP16CD0023,23,Toyota,Innova,Silver,PETROL,2024-03-06,ACTIVE,UP16
24,UP16EF0024,24,Maruti Suzuki,Baleno,Red,CNG,2021-06-23,ACTIVE,UP16
25,DL05EF0025,25,Maruti Suzuki,Baleno,Black,PETROL,2022-09-07,ACTIVE,DL05
26,HR26CD0026,26,Kia,Seltos,Blue,EV,2022-11-21,ACTIVE,HR26
27,DL05GH0027,27,Kia,Seltos,Black,DIESEL,2025-01-04,ACTIVE,DL05
28,MH12EF0028,28,Tata,Punch,Black,CNG,2024-04-17,ACTIVE,MH12
29,DL05IJ0029,29,Maruti Suzuki,Baleno,Red,EV,2023-03-16,ACTIVE,DL05
30,HR26EF0030,30,Maruti Suzuki,Swift,Red,DIESEL,2024-12-23,ACTIVE,HR26
31,UP16EF0031,31,Mahindra,XUV700,White,DIESEL,2021-03-17,ACTIVE,UP16
32,DL05CD0032,32,Mahindra,XUV700,White,DIESEL,2023-07-22,ACTIVE,DL05
33,DL01GH0033,33,Toyota,Innova,Red,DIESEL,2025-06-20,ACTIVE,DL01
34,HR26EF0034,34,Hyundai,Creta,Blue,EV,2022-04-06,ACTIVE,HR26
35,HR26GH0035,35,Hyundai,Creta,Black,EV,2023-04-27,SUSPENDED,HR26
36,DL05CD0036,36,Maruti Suzuki,Baleno,Red,DIESEL,2021-05-02,ACTIVE,DL05
37,HR26GH0037,37,Toyota,Innova,Black,EV,2021-08-26,CANCELLED,HR26
38,MH12CD0038,38,Kia,Seltos,Grey,PETROL,2021-01-07,ACTIVE,MH12
39,UP16CD0039,39,Kia,Seltos,White,EV,2024-06-14,ACTIVE,UP16
40,MH12AB0040,40,Tata,Nexon,Red,EV,2021-08-19,SUSPENDED,MH12
41,UP16IJ0041,41,Mahindra,XUV700,White,EV,2025-02-07,ACTIVE,UP16
42,UP16IJ0042,42,Toyota,Innova,Red,CNG,2022-01-03,CANCELLED,UP16
43,DL01IJ0043,43,Toyota,Innova,Blue,DIESEL,2022-10-03,ACTIVE,DL01
44,DL05IJ0044,44,Tata,Nexon,Blue,EV,2022-07-24,ACTIVE,DL05
45,UP16EF0045,45,Maruti Suzuki,Swift,Black,DIESEL,2025-05-12,ACTIVE,UP16
46,DL05CD0046,46,Kia,Seltos,Black,CNG,2025-07-31,ACTIVE,DL05
47,DL05CD0047,47,Kia,Seltos,Grey,PETROL,2023-11-14,SUSPENDED,DL05
