true_plate,true_make,true_model,true_colour,reg_status
DL01AB0001,Mahindra,XUV700,White,ACTIVE
DL01AB0002,Tata,Punch,Grey,ACTIVE
UP16CD0003,Tata,Nexon,Grey,ACTIVE
DL05EF0004,Toyota,Innova,Blue,ACTIVE
DL05AB0005,Mahindra,XUV700,Silver,ACTIVE
MH12EF0006,Mahindra,XUV700,White,ACTIVE
MH12AB0007,Hyundai,i20,Grey,ACTIVE
UP16EF0008,Toyota,Innova,Silver,ACTIVE
MH12AB0009,Tata,Punch,Red,ACTIVE
DL05GH0010,Maruti Suzuki,Swift,Blue,ACTIVE
UP16IJ0011,Tata,Nexon,Grey,ACTIVE
DL05AB0012,Hyundai,Creta,Red,ACTIVE
UP16CD0013,Tata,Punch,White,ACTIVE
HR26EF0014,Toyota,Innova,Red,ACTIVE
HR26GH0015,Tata,Punch,White,ACTIVE
DL05IJ0016,Honda,City,Silver,ACTIVE
UP16GH0017,Hyundai,i20,Silver,ACTIVE
DL05GH0018,Toyota,Innova,Blue,ACTIVE
DL01CD0019,Maruti Suzuki,Swift,White,ACTIVE
HR26EF0020,Tata,Punch,Blue,ACTIVE
HR26CD0021,Maruti Suzuki,Baleno,Silver,ACTIVE
UP16GH0022,Mahindra,XUV700,White,ACTIVE
UP16CD0023,Toyota,Innova,Silver,ACTIVE
UP16EF0024,Maruti Suzuki,Baleno,Red,ACTIVE
DL05EF0025,Maruti Suzuki,Baleno,Black,ACTIVE
HR26CD0026,Kia,Seltos,Blue,ACTIVE
DL05GH0027,Kia,Seltos,Black,ACTIVE
MH12EF0028,Tata,Punch,Black,ACTIVE
DL05IJ0029,Maruti Suzuki,Baleno,Red,ACTIVE
HR26EF0030,Maruti Suzuki,Swift,Red,ACTIVE
UP16EF0031,Mahindra,XUV700,White,ACTIVE
DL05CD0032,Mahindra,XUV700,White,ACTIVE
DL01GH0033,Toyota,Innova,Red,ACTIVE
HR26EF0034,Hyundai,Creta,Blue,ACTIVE
HR26GH0035,Hyundai,Creta,Black,SUSPENDED
DL05CD0036,Maruti Suzuki,Baleno,Red,ACTIVE
HR26GH0037,Toyota,Innova,Black,CANCELLED
MH12CD0038,Kia,Seltos,Grey,ACTIVE
UP16CD0039,Kia,Seltos,White,ACTIVE
MH12AB0040,Tata,Nexon,Red,SUSPENDED
UP16IJ0041,Mahindra,XUV700,White,ACTIVE
UP16IJ0042,Toyota,Innova,Red,CANCELLED
DL01IJ0043,Toyota,Innova,Blue,ACTIVE
DL05IJ0044,Tata,Nexon,Blue,ACTIVE
UP16EF0045,Maruti Suzuki,Swift,Black,ACTIVE
DL05CD0046,Kia,Seltos,Black,ACTIVE
DL05CD0047,Kia,Seltos,Grey,SUSPENDED
DL05EF0048,Kia,Seltos,Red,ACTIVE
UP16GH0049,Toyota,Innova,Silver,ACTIVE
DL01EF0050,Maruti Suzuki,Baleno,Blue,ACTIVE
MH12GH0051,Maruti Suzuki,Swift,White,ACTIVE
MH12IJ0052,Toyota,Innova,Blue,ACTIVE
DL01AB0053,Tata,Punch,White,ACTIVE
DL01AB0054,Tata,Punch,Grey,ACTIVE
DL01GH0055,Mahindra,XUV700,Silver,ACTIVE
MH12CD0056,Maruti Suzuki,Swift,Blue,ACTIVE
UP16EF0057,Tata,Nexon,Blue,ACTIVE
HR26GH0058,Kia,Seltos,Red,SUSPENDED
DL05GH0059,Honda,City,Silver,ACTIVE
UP16GH0060,Kia,Seltos,Black,ACTIVE
UP16CD0061,Maruti Suzuki,Swift,Silver,ACTIVE
UP16AB0062,Kia,Seltos,Blue,ACTIVE
DL01IJ0063,Toyota,Innova,Grey,ACTIVE
DL01CD0064,Tata,Punch,Red,SUSPENDED
DL01GH0065,Hyundai,Creta,Silver,ACTIVE
MH12IJ0066,Kia,Seltos,Silver,ACTIVE
UP16IJ0067,Maruti Suzuki,Baleno,Silver,ACTIVE
DL01GH0068,Hyundai,i20,Grey,ACTIVE
MH12GH0069,Kia,Seltos,Grey,ACTIVE
