incident_id,vehicle_number,fir_no,reported_date,incident_type,stolen_flag,recovered_flag,case_status,police_station
1,dl 01 gh 0599,FIR00001/2026,1787682600,THEFT,Y,N,OPEN,Connaught Place PS
2,up 16 cd 0391,FIR00002/2026,1782239400,THEFT,Y,N,OPEN,MG Road PS
3,hr 26 ab 0597,FIR00003/2026,1788201000,THEFT,Y,N,OPEN,Connaught Place PS
4,dl 01 cd 0195,FIR00004/2026,1785954600,THEFT,Y,N,OPEN,Connaught Place PS
5,mh 12 ef 0248,FIR00005/2026,1788028200,THEFT,Y,N,OPEN,Sector 14 PS
6,dl 05 cd 0386,FIR00006/2026,1786732200,THEFT,Y,N,OPEN,Sector 14 PS
7,hr 26 gh 0399,FIR00007/2026,1781461800,THEFT,Y,N,OPEN,Sector 14 PS
8,dl 01 ab 0515,FIR00008/2026,1786300200,THEFT,Y,N,OPEN,Connaught Place PS
9,hr 26 gh 0230,FIR00009/2026,1784140200,THEFT,Y,N,OPEN,Karol Bagh PS
10,dl 05 ab 0420,FIR00010/2026,1785263400,THEFT,Y,N,OPEN,MG Road PS
11,hr 26 ij 0443,FIR00011/2026,1788028200,THEFT,Y,N,OPEN,Civil Lines PS
12,dl 05 gh 0507,FIR00012/2026,1785954600,THEFT,Y,N,OPEN,Sector 14 PS
13,hr 26 ab 0559,FIR00013/2026,1782930600,THEFT,Y,N,OPEN,Karol Bagh PS
14,up 16 ef 0232,FIR00014/2026,1782325800,THEFT,Y,N,OPEN,Civil Lines PS
15,up 16 ef 0374,FIR00015/2026,1781807400,THEFT,Y,N,OPEN,Karol Bagh PS
16,dl 05 cd 0032,FIR00016/2026,1780770600,THEFT,Y,N,OPEN,Sector 14 PS
17,dl 01 ab 0359,FIR00017/2026,1785868200,THEFT,Y,N,OPEN,Connaught Place PS
18,up 16 gh 0547,FIR00018/2026,1782498600,THEFT,Y,N,OPEN,Karol Bagh PS
19,mh 12 ef 0395,FIR00019/2026,1780857000,THEFT,Y,N,OPEN,Sector 14 PS
20,up 16 ef 0321,FIR00020/2026,1788114600,THEFT,Y,N,OPEN,Sector 14 PS
21,mh 12 ij 0095,FIR00021/2026,1782153000,THEFT,Y,N,OPEN,Sector 14 PS
22,dl 05 gh 0263,FIR00022/2026,1782498600,THEFT,Y,N,OPEN,Connaught Place PS
23,hr 26 ij 0194,FIR00023/2026,1784572200,THEFT,Y,N,OPEN,Connaught Place PS
24,dl 01 ef 0260,FIR00024/2026,1785263400,THEFT,Y,N,OPEN,Sector 14 PS
25,up 16 gh 0583,FIR00025/2026,1782757800,THEFT,Y,N,OPEN,Connaught Place PS
26,dl 05 cd 0450,FIR00026/2026,1785781800,THEFT,Y,N,OPEN,Karol Bagh PS
27,dl 01 ij 0192,FIR00027/2026,1780943400,THEFT,Y,N,OPEN,Karol Bagh PS
28,dl 05 cd 0122,FIR00028/2026,1781461800,THEFT,Y,N,OPEN,MG Road PS
29,mh 12 ef 0600,FIR00029/2026,1784917800,THEFT,Y,N,OPEN,MG Road PS
30,dl 01 gh 0575,FIR00030/2026,1781202600,THEFT,Y,N,OPEN,Sector 14 PS
31,dl 01 ab 0053,FIR00031/2025,1767205800,THEFT,Y,Y,CLOSED,Sector 14 PS
32,up 16 ab 0171,FIR00032/2025,1773858600,THEFT,Y,Y,CLOSED,Civil Lines PS
33,hr 26 gh 0099,FIR00033/2025,1779474600,THEFT,Y,Y,CLOSED,Sector 14 PS
34,dl 05 cd 0440,FIR00034/2025,1756405800,THEFT,Y,Y,CLOSED,MG Road PS
35,dl 05 gh 0214,FIR00035/2025,1760898600,THEFT,Y,Y,CLOSED,Sector 14 PS
36,dl 01 ij 0182,FIR00036/2025,1777228200,THEFT,Y,Y,CLOSED,Karol Bagh PS
37,mh 12 ij 0215,FIR00037/2025,1763231400,THEFT,Y,Y,CLOSED,Connaught Place PS
38,dl 05 ab 0339,FIR00038/2025,1769106600,THEFT,Y,Y,CLOSED,MG Road PS
39,dl 01 gh 0065,FIR00039/2025,1777228200,THEFT,Y,Y,CLOSED,Civil Lines PS
40,dl 05 gh 0027,FIR00040/2025,1757269800,THEFT,Y,Y,CLOSED,MG Road PS
41,hr 26 ef 4455,FIR00999/2026,1786768200,THEFT,Y,N,OPEN,Connaught Place PS
42,dl 03 sc 5566,SCR00042/2024,1721041200,SHREDDING,N,N,CLOSED,Lajpat Nagar PS
